run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1764188512,config_131.yaml,11700.625,6,355,5073,0.0003,0.01,0.3,0.99,7,3,334,0.999,0.5,117,1123,5,50000,17.43405797101451,51.9,158.18322576992753,167.7890625,278.7927536231883,303.2,520.8744904891304,540.03515625,68.69659996032715
run_1764188578,config_132.yaml,11700.625,6,808,6387,0.0003,0.01,0.3,0.99,9,1,279,0.999,0.5,32,3289,5,50000,18.265040650406522,65.8,153.97100482723576,157.33203125,270.60487804878056,301.9,511.274199695122,521.11328125,61.17843747138977
run_1764188622,config_133.yaml,11700.625,6,1022,4099,0.0003,0.01,0.3,0.99,2,2,127,0.999,0.5,104,925,5,50000,29.22125000000002,67.9,156.22705078125,159.2578125,281.1975000000001,303.4,517.667919921875,531.02734375,39.60171961784363
run_1764188674,config_134.yaml,11700.625,6,441,9284,0.0003,0.01,0.3,0.99,3,3,259,0.999,0.5,56,1145,5,50000,25.41276595744684,57.8,156.49351728723406,162.19921875,276.18297872340446,301.6,521.9978806515958,533.8125,46.629852056503296
run_1764188754,config_135.yaml,11700.625,6,216,12714,0.0003,0.01,0.3,0.99,9,3,224,0.999,0.5,108,3783,5,50000,16.81066666666668,51.7,156.87208333333334,165.66796875,265.23333333333363,302.8,533.6174479166667,558.01953125,74.70576310157776
run_1764188801,config_136.yaml,11700.625,6,93,8499,0.0003,0.01,0.3,0.99,2,2,94,0.999,0.5,27,4634,5,50000,25.52790697674421,47.6,154.6518895348837,164.93359375,279.1337209302325,303.3,502.40779433139534,522.36328125,42.610689878463745
run_1764188852,config_137.yaml,11700.625,6,257,5136,0.0003,0.01,0.3,0.99,3,2,340,0.999,0.5,59,2579,5,50000,22.947311827957012,43.9,160.9009996639785,165.14453125,287.07956989247316,303.3,507.7368531586022,525.5234375,46.11268377304077
run_1764188917,config_138.yaml,11700.625,6,503,15102,0.0003,0.01,0.3,0.99,8,2,146,0.999,0.5,99,2024,5,50000,19.222314049586796,71.5,159.18023631198346,161.10546875,255.8727272727273,303.1,533.243059142562,549.50390625,60.1541850566864
run_1764188989,config_139.yaml,11700.625,6,821,5059,0.0003,0.01,0.3,0.99,7,3,254,0.999,0.5,27,3155,5,50000,17.528358208955247,51.8,156.07279034514926,164.7265625,286.20895522388093,301.5,525.2153393190298,536.43359375,66.68105578422546
run_1764189088,config_13.yaml,11700.625,6,92,9366,0.0003,0.01,0.3,0.99,7,3,397,0.999,0.5,107,3830,5,50000,13.546276595744695,59.5,159.95183676861703,161.43359375,279.44574468085153,303.0,563.0739278590426,576.3515625,93.74656748771667
run_1764189133,config_140.yaml,11700.625,6,1004,9877,0.0003,0.01,0.3,0.99,2,2,404,0.999,0.5,108,1767,5,50000,28.154878048780514,51.9,158.56912157012195,161.19140625,280.3890243902439,302.8,568.2482850609756,604.921875,40.613168239593506
run_1764189194,config_141.yaml,11700.625,6,469,15893,0.0003,0.01,0.3,0.99,8,1,444,0.999,0.5,118,1167,5,50000,21.183035714285733,65.9,157.03254045758928,159.203125,257.7642857142858,303.0,538.5233677455357,555.3984375,55.655457735061646
run_1764189251,config_142.yaml,11700.625,6,297,14622,0.0003,0.01,0.3,0.99,2,4,460,0.999,0.5,32,3928,5,50000,21.24571428571431,47.9,158.93549107142857,168.01171875,280.02666666666653,301.5,563.3332589285715,586.22265625,52.14264893531799
run_1764189370,config_143.yaml,11700.625,6,250,11642,0.0003,0.01,0.3,0.99,10,3,496,0.999,0.5,54,3062,5,50000,10.964317180616751,71.8,157.47207117290748,166.1796875,269.536123348018,302.5,589.486405561674,635.875,113.34373354911804
run_1764189445,config_144.yaml,11700.625,6,809,6554,0.0003,0.01,0.3,0.99,5,3,511,0.999,0.5,36,2810,5,50000,15.6825174825175,67.7,158.25647399475525,164.8671875,282.97412587412606,303.2,559.0486232517483,575.109375,71.19511461257935
