run_id,machine_id,run_log_file,algo,seed,env_name,os_name,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,learning_rate_schedule,batch_size,buffer_size,normalize,hidden_units,num_layers,vis_encode_type,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,save_replay_buffer,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,time_to_convergence,steps_to_convergence
filippomorini_macOS_ppo_62765f5fee,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_62765f5fee\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.65,882.94,21.19,954.23,0.0003,linear,32,129248,False,105,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,402.44,100.0,0.0,397.051,1060000
filippomorini_macOS_ppo_6333f9cc62,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_6333f9cc62\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.64,1219.41,19.73,1511.39,0.0003,linear,32,356768,False,90,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1033.586,100.0,0.0,884.457,2200000
filippomorini_macOS_ppo_6423f3b781,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_6423f3b781\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.6,910.58,19.08,994.83,0.0003,linear,32,142976,False,79,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,448.453,100.0,0.0,405.94,1050000
filippomorini_macOS_ppo_726cf3321d,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_726cf3321d\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.67,1036.07,19.58,1200.05,0.0003,linear,32,226368,False,93,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,624.665,100.0,0.0,622.004,1600000
filippomorini_macOS_ppo_782b344927,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_782b344927\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.71,925.89,22.65,1028.97,0.0003,linear,32,163008,False,113,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,413.376,100.0,0.0,407.889,1010000
filippomorini_macOS_ppo_9633fa3131,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_9633fa3131\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.58,1160.1,21.32,1458.61,0.0003,linear,32,337248,False,76,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,951.827,100.0,0.0,905.728,2400000
filippomorini_macOS_ppo_9637852ed8,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_9637852ed8\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.66,834.14,19.09,868.86,0.0003,linear,32,91936,False,70,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,333.236,100.0,0.0,262.506,680000
filippomorini_macOS_ppo_99d7185f07,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_99d7185f07\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.68,1099.35,20.81,1296.75,0.0003,linear,32,269088,False,89,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,844.222,100.0,0.0,763.945,2040000
filippomorini_macOS_ppo_99ef5d8dc6,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_99ef5d8dc6\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.42,805.1,19.47,835.55,0.0003,linear,32,78432,False,94,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,270.772,100.0,0.0,265.398,710000
filippomorini_macOS_ppo_a09b882944,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_a09b882944\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.53,847.42,20.21,911.45,0.0003,linear,32,107712,False,67,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,314.701,100.0,0.0,309.204,770000
