seed,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,batch_size,buffer_size,hidden_units,num_layers,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,steps_to_convergence,algo_sac,os_name_Windows,os_name_macOS,time_to_convergence,converged
0.0,10,10,0.0,16384.0,17.42,805.1,19.47,835.55,0.0003,32.0,78432.0,94.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,270.772,100.0,0.0,710000.0,False,False,True,265.398,1
0.0,10,10,0.0,16384.0,17.53,847.42,20.21,911.45,0.0003,32.0,107712.0,67.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,314.701,100.0,0.0,770000.0,False,False,True,309.204,1
0.0,10,10,0.0,16384.0,17.63,791.53,19.29,822.59,0.0003,32.0,68704.0,81.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,244.598,100.0,0.0,560000.0,False,False,True,218.215,1
0.0,10,10,0.0,16384.0,17.5,1043.43,19.33,1250.55,0.0003,32.0,247648.0,83.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,611.564,100.0,0.0,1550000.0,False,False,True,606.166,1
0.0,10,10,0.0,16384.0,17.4,930.0,20.6,1191.39,0.0003,32.0,254368.0,89.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,734.78,100.0,0.0,1670000.0,False,False,True,660.82,1
0.0,10,10,0.0,16384.0,17.2,997.15,20.23,1133.7,0.0003,32.0,200384.0,90.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,624.058,100.0,0.0,1500000.0,False,False,True,617.552,1
0.0,10,10,0.0,16384.0,17.35,1237.06,19.35,1573.39,0.0003,32.0,397248.0,116.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1291.26,100.0,0.0,3340000.0,False,False,True,1285.906,1
0.0,10,10,0.0,16384.0,17.36,1283.32,21.52,1663.48,0.0003,32.0,420608.0,119.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1069.346,100.0,0.0,2610000.0,False,False,True,1063.707,1
0.0,10,10,0.0,16384.0,17.47,1050.52,21.04,1244.38,0.0003,32.0,241664.0,95.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,717.95,100.0,0.0,1670000.0,False,False,True,655.25,1
0.0,10,10,0.0,16384.0,17.49,1158.86,20.16,1413.64,0.0003,32.0,321056.0,104.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,940.687,100.0,0.0,1960000.0,False,False,True,804.498,1
